frame,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
12,0.1,-89.65493988,8.90943934,-180.62374318,0.92844195,0.44544852,-0.60792873,1.52592677,5.2855088,-13.40986819,3.47775243,0.06069823,11.09593066,5.18074481,-7.50009336,4.63732529,-18.91354202,-29.48516986,17.31361597,0.3021796,27.79479705,24.21356066,-7.50009336,-13.06529622,11.42600925,0.67212471,2.03909407,-6.79687691,-20.41555151,29.96790408,102.10071939,-0.21982425,-5.34845425,-9.56077968,31.9227634,106.70245602
13,0.10833333,-89.64485869,8.88633086,-180.50646166,0.92854955,0.4448916,-0.60759909,1.58435619,5.24488465,-13.64008767,3.49883018,0.06106611,11.13781097,5.24833665,-7.50000402,4.68362747,-18.79915462,-29.05484809,17.1952298,0.30011338,27.68023856,23.91101806,-7.50000402,-13.16865034,11.42683256,0.54327984,1.95134174,-6.79874322,-20.39303518,30.01239861,101.73984619,-0.3803153,-5.3796173,-9.50230869,32.02322247,106.46132882
14,0.11666667,-89.6429893,8.76906996,-180.47296065,0.9287413,0.44462261,-0.60737358,1.63667785,5.08056369,-13.8201673,3.57880302,0.0624619,11.32928414,5.44767936,-7.50000275,4.62659215,-18.54110416,-28.83392023,16.94216666,0.29569659,27.42731724,23.58725446,-7.50000275,-13.24922037,11.32451991,0.48905078,1.79980466,-6.79081611,-20.59655664,30.05879056,101.76328315,-0.60140725,-5.4301898,-9.5719485,32.13864681,106.30493088
15,0.125,-89.64172143,8.57834073,-180.48895732,0.92896605,0.44448302,-0.60715291,1.67693516,4.81999255,-13.93445983,3.6425098,0.06357379,11.475391,5.58629865,-7.50000063,4.51475471,-18.1769597,-28.78305961,16.58271535,0.28942298,27.13509345,23.33770005,-7.50000063,-13.30431351,11.13756149,0.46262466,1.67348481,-6.78479564,-20.880943,30.02096792,102.08631206,-0.81224913,-5.46499641,-9.75918996,32.20370253,106.10419923
16,0.13333333,-89.649438,8.17677901,-180.54670719,0.92927465,0.44408666,-0.60676762,1.83327707,4.28395683,-14.09857964,3.90981658,0.06823917,11.75360277,5.77952038,-7.50000049,4.29592489,-17.43546375,-28.37564247,15.96362264,0.27861778,26.83015456,22.63328082,-7.50000049,-13.42755982,10.71771113,0.41779291,1.63079776,-6.7875376,-20.8907554,29.9306233,101.90834105,-0.9715112,-5.49669793,-9.94477013,32.26664727,106.03065241
17,0.14166667,-89.64398211,7.98981056,-180.53238114,0.92942905,0.44349979,-0.60666918,1.9468059,4.05295856,-14.16999495,4.04193937,0.07054515,11.81250443,5.81536883,-7.50000018,4.30189206,-17.13253762,-28.096405,15.78379773,0.27547924,26.78801129,22.31661283,-7.50000018,-13.56713649,10.49652246,0.33933718,1.56281604,-6.78745548,-20.81886285,29.88799091,101.942583,-1.11432901,-5.56874587,-9.92603237,32.33699464,106.3046334
18,0.15,-89.62834068,7.78134325,-180.64799523,0.92950571,0.44319789,-0.6067757,2.09459522,3.77552818,-14.41476685,4.26589422,0.0744539,11.99949158,6.16449386,-7.49999999,4.16795836,-16.79056771,-28.02328272,15.47354308,0.27006427,26.65333287,22.0479309,-7.49999999,-13.68029859,10.21077129,0.42076165,1.43425556,-6.79426482,-20.83828235,29.84226558,102.11479059,-1.26028687,-5.66581583,-9.73845762,32.3230385,106.28311782
19,0.15833333,-89.61923682,7.65692838,-180.69891448,0.92957754,0.44308704,-0.60650751,2.05330816,3.63066578,-14.17461462,4.15207708,0.07246742,11.96120276,6.07351277,-7.4999999,4.02223845,-16.49623291,-27.74531284,15.13263115,0.26411424,26.35935379,21.6391762,-7.4999999,-13.7616848,10.0905222,0.41634528,1.29418042,-6.8169821,-20.87288972,29.83771941,102.03265746,-1.52893079,-5.64578138,-9.99866002,32.40450003,106.36531635
20,0.16666667,-89.63346836,7.20909363,-180.76005104,0.92992743,0.44275666,-0.60568249,2.12996136,3.02310018,-14.24037506,4.28291084,0.0747509,12.14633241,6.3198266,-7.49999989,3.69983693,-15.59732194,-26.99710751,14.36084128,0.25064396,25.8514082,20.49759556,-7.49999989,-13.89828753,9.67152378,0.39030725,1.20416978,-6.81220685,-21.18114062,29.82126138,102.1698786,-1.6770814,-5.63078393,-10.27493641,32.4060607,106.44881602
21,0.175,-89.62604871,7.2385493,-180.68160157,0.93012774,0.44245041,-0.60523544,2.09785483,3.03525884,-14.32726839,4.16336533,0.07266443,12.12036766,6.41266306,-7.49999989,3.76090237,-15.63601837,-27.13538836,14.40381332,0.25139397,25.87892662,20.80677218,-7.49999989,-14.00492169,9.77971074,0.35239761,1.11083973,-6.89359776,-21.23993573,29.7213784,102.49806563,-1.75954001,-5.63983332,-10.3106121,32.2774509,106.83518994
22,0.18333333,-89.60923447,7.2223759,-180.62648059,0.93025475,0.44210008,-0.60504887,2.18786207,2.9902078,-14.48485915,4.26199282,0.07438581,12.15195278,6.36762286,-7.49999989,3.89830614,-15.64765342,-27.13854716,14.55475022,0.25402831,25.84053727,20.73381022,-7.49999989,-14.1086955,9.77947298,0.32537679,0.92842709,-6.88969489,-21.39890279,29.8562807,102.6489199,-1.96812174,-5.68628243,-10.38382237,32.4927602,106.98674077
23,0.19166667,-89.62859463,6.60160144,-180.79513194,0.93075356,0.44160888,-0.60467019,2.34897666,2.19507635,-14.56421338,4.54668788,0.07935467,12.40980856,6.69131704,-7.49999988,3.39482946,-14.40926631,-25.95403759,13.33941656,0.23281674,25.16381021,18.8284258,-7.49999988,-14.28150701,9.08045941,0.34656188,0.86301543,-6.82498272,-21.46161953,29.78691344,101.95437286,-2.14349259,-5.77016611,-10.34064013,32.56549127,105.94328029
24,0.2,-89.61267568,6.6163144,-180.82016373,0.93084925,0.44120698,-0.60470228,2.42570273,2.20112931,-14.60402034,4.62962936,0.08080228,12.5404886,6.72838124,-7.49999988,3.49368793,-14.46490692,-26.06630559,13.45827958,0.23489129,25.30250785,18.88233089,-7.49999988,-14.38277351,9.08665809,0.39372526,0.78074529,-6.88106384,-21.48922369,29.62943258,102.15576798,-2.25240417,-5.77492474,-10.35249477,32.41445354,106.16620188
25,0.20833333,-89.64156979,5.84088905,-180.92108094,0.93130555,0.44075462,-0.6039693,2.63233578,1.17060967,-14.905154,5.04159458,0.08799243,12.85637257,7.36178626,-7.49999988,2.91256363,-13.02956238,-24.74797719,12.14664371,0.21199893,24.56448988,17.0886291,-7.49999988,-14.54991645,8.24626921,0.27745675,0.72155229,-6.77476558,-21.69333419,29.58984211,101.58047585,-2.46066538,-5.82240844,-10.56492753,32.5904646,106.16267561
26,0.21666667,-89.62746409,5.86608977,-181.0182327,0.93141761,0.44042427,-0.60409012,2.68262854,1.19021438,-14.93209867,5.06194196,0.08834755,12.89496233,7.4439534,-7.49999988,2.8781069,-13.07830806,-24.81060739,12.15869049,0.21220918,24.68207225,17.26146382,-7.49999988,-14.67994347,8.26381299,0.35969466,0.65987079,-6.83971294,-21.72112187,29.45000268,101.82451069,-2.58029734,-5.79974651,-10.5255129,32.49789404,106.44831964
27,0.225,-89.60668335,5.89443634,-181.07131382,0.93150595,0.4400432,-0.6041329,2.74512438,1.21311986,-14.97242197,5.06440168,0.08839048,12.91912489,7.50359702,-7.49999988,2.92551873,-13.13269738,-24.88401975,12.18790928,0.21271915,24.68335526,17.39334199,-7.49999988,-14.82091288,8.30123584,0.41662718,0.57362988,-6.86861162,-21.75639454,29.40260399,102.07279761,-2.72038786,-5.81705623,-10.45513564,32.51841214,106.75130502
28,0.23333333,-89.59100349,5.88355247,-181.03951036,0.93156881,0.43966366,-0.60396294,2.82762163,1.17733147,-15.00757136,5.12608442,0.08946705,12.9775313,7.46845915,-7.49999988,3.02694348,-13.10476831,-24.91794019,12.17852062,0.21255528,24.51069066,17.30417496,-7.49999988,-14.96044487,8.30448937,0.40864212,0.39850265,-6.85788686,-21.90507436,29.60902617,102.23581756,-2.97984474,-5.86889752,-10.41380123,32.7943136,106.93975393
29,0.24166667,-89.6158151,5.08514877,-181.02250762,0.93198469,0.4392838,-0.6028266,3.02893244,0.10124089,-15.44836274,5.53566062,0.0966155,13.43845828,8.08866804,-7.49999987,2.37319876,-11.49747407,-23.01874762,10.50120407,0.18328059,23.41563285,14.82266695,-7.49999987,-15.0899911,7.47984586,0.21431428,0.34199984,-6.79444414,-22.05761665,29.46166448,102.31362634,-3.11478393,-5.93062909,-10.50232072,32.7381441,106.81959091
30,0.25,-89.63208501,4.40949404,-181.39443337,0.93232444,0.43887928,-0.60252732,3.23607336,-0.75132285,-15.18380818,5.85214915,0.10213927,13.6786363,8.26105433,-7.49999987,1.57350792,-10.15631635,-21.72620958,8.83726079,0.1542393,22.37144609,12.73149419,-7.49999987,-15.25315672,6.70109562,0.44077887,0.25227081,-6.7601233,-22.19904407,29.38165649,102.01701681,-3.21664589,-5.94886771,-10.57127,32.69995954,106.67122231
31,0.25833333,-89.62011251,4.32062205,-181.215169,0.93234129,0.43851526,-0.60199209,3.3360604,-0.93484654,-15.78855934,6.0196873,0.10506336,13.87801177,8.95395047,-7.49999987,1.62793388,-10.02296952,-21.5585774,8.76715759,0.15301577,22.39263422,12.82442434,-7.49999987,-15.3521625,6.64022975,0.30895797,0.1299056,-6.6833313,-22.57550501,29.39210639,101.89347877,-3.3155058,-5.95705151,-10.72798692,32.73150081,107.04203907
32,0.26666667,-89.59784439,4.31460014,-181.28749883,0.93240342,0.43802423,-0.6019582,3.47057399,-0.96417083,-15.81783655,6.17109934,0.107706,13.90976552,8.96540627,-7.49999987,1.72473655,-10.03296827,-21.66011781,8.88196944,0.15501961,22.45664174,12.76517664,-7.49999987,-15.48964638,6.63518428,0.37702498,0.10546054,-6.71575581,-22.54273112,29.24628366,102.00478829,-3.39259139,-5.95085035,-10.76099898,32.5995753,107.0857557
33,0.275,-89.65029479,2.711851,-181.7099359,0.93289135,0.43837596,-0.60051692,3.85770245,-3.1324851,-16.43896227,7.00948387,0.12233857,14.76854695,10.49864594,-7.49999987,-0.35961965,-6.89285636,-17.2762176,4.57617915,0.07986939,19.33595484,6.921301,-7.49999987,-15.575749,4.9183367,0.29260683,-0.00657759,-6.63959885,-22.35753239,29.13548449,101.70037502,-3.66681367,-6.01250431,-10.89258257,32.69497855,106.54533312
34,0.28333333,-89.64087515,2.68672494,-181.67570035,0.93305173,0.43818397,-0.60038119,3.87067045,-3.17078822,-16.45368039,6.99483519,0.1220829,14.79883491,10.54839122,-7.49999987,-0.33223795,-6.85422317,-17.29512404,4.5716022,0.07978951,19.37182558,7.03614461,-7.49999987,-15.68163262,4.92446633,0.25018684,-0.0614284,-6.66357733,-22.39748425,29.02459468,101.9340798,-3.77961195,-6.0306038,-10.85939023,32.62898106,106.82775675
35,0.29166667,-89.63900826,2.70851832,-181.61625213,0.93319359,0.43850278,-0.60026485,3.81054854,-3.15795576,-16.48813766,6.93533239,0.12104438,14.82159019,10.64374538,-7.49999987,-0.43525057,-6.84548168,-17.32110747,4.39942183,0.0767844,19.38795217,7.2203897,-7.49999987,-15.72866146,4.97305255,0.19990842,-0.17734489,-6.7096355,-22.46605277,28.83376048,102.30182708,-3.93577456,-6.0448485,-10.8580166,32.45954578,107.29888818
36,0.3,-89.62472857,2.69654101,-181.51991184,0.9331989,0.43831185,-0.59997378,3.99076279,-3.24290655,-16.60714188,7.24928619,0.12652391,14.91042984,10.40693287,-7.49999987,-0.26253553,-6.86800754,-17.33951195,4.66500409,0.08141968,19.62075423,7.22712002,-7.49999987,-15.85404402,4.99291762,0.10169091,-0.25302184,-6.68980163,-22.57755239,28.81974711,102.35630801,-4.06613132,-6.04716695,-10.85510178,32.42153681,107.3247295
37,0.30833333,-89.6232248,2.63204153,-181.44147729,0.93331768,0.4381404,-0.59969307,3.9879905,-3.33488983,-16.67882934,7.23924554,0.12634867,14.87961986,10.39712037,-7.49999987,-0.32787192,-6.75928569,-17.28867342,4.49616753,0.07847293,19.62514839,7.4324772,-7.49999987,-15.99708467,4.94048168,0.02665447,-0.37634795,-6.62221686,-22.74706881,28.86939241,102.67318887,-4.20494998,-6.05420425,-10.88658302,32.47635469,107.71577738
38,0.31666667,-89.60870834,2.28064777,-181.39717158,0.93333383,0.43806116,-0.59910703,4.08828401,-3.82481294,-17.04643866,7.40748065,0.12928493,15.12944297,10.76939402,-7.49999987,-0.53715796,-6.21978792,-16.64501367,4.0252088,0.07025315,19.33440984,6.79310153,-7.49999987,-16.06347085,4.58817125,-0.08646035,-0.48987617,-6.49150857,-23.24324677,28.89430134,102.16867113,-4.3596979,-6.09416033,-10.74267336,32.51061695,106.26227868
39,0.325,-89.59318764,2.59325892,-181.10957295,0.93339277,0.43785283,-0.59894695,3.82943777,-3.3520903,-17.02844404,6.90873526,0.12058018,14.81639773,10.47809327,-7.49999987,-0.24115748,-6.72758243,-16.84770516,4.57623583,0.07987038,19.80483906,7.48197824,-7.49999987,-16.17501439,4.98394521,-0.27687605,-0.54811473,-6.469118,-23.44323596,28.84650176,102.43820195,-4.48904363,-5.9869757,-11.03500731,32.4744811,106.51636773
40,0.33333333,-89.58623134,2.48263311,-181.17992322,0.93345003,0.43765724,-0.59880072,3.83122566,-3.47659665,-16.86754431,6.84737717,0.11950928,14.71131234,10.43903095,-7.49999987,-0.44831664,-6.47796661,-16.33668055,4.10271368,0.07160586,19.36503563,6.70581655,-7.49999987,-16.30945347,4.85974522,-0.19679108,-0.65492459,-6.45508368,-23.48959149,28.87300052,101.56632983,-4.59295119,-5.9350556,-11.12316114,32.50912904,105.98852591
41,0.34166667,-89.5521401,2.48356323,-181.12719091,0.93343211,0.43697834,-0.5985293,4.04399352,-3.53699817,-16.90501431,7.11859952,0.124243,14.78360856,10.39544394,-7.49999987,-0.17760537,-6.49788292,-16.53395169,4.35443428,0.07599922,19.48666072,6.80821558,-7.49999987,-16.47039489,4.87934374,-0.22205079,-0.63442941,-6.48703551,-23.44356049,28.73740025,101.65718423,-4.60537717,-5.9709012,-11.09015577,32.48996436,106.02913636
42,0.35,-89.54759881,2.24952788,-181.22417959,0.933549,0.43695993,-0.59843276,4.08766914,-3.84043369,-17.06126527,7.16756085,0.12509754,14.93459077,10.76452466,-7.49999987,-0.35206763,-6.1501597,-16.66845102,3.97550318,0.06938562,19.34467367,6.96919424,-7.49999987,-16.5832961,4.6135584,-0.19231146,-0.73538855,-6.43396306,-23.66227234,28.7371096,102.55586671,-4.77899415,-5.98374134,-11.20767856,32.67341037,106.63993363
43,0.35833333,-89.517489,2.4125772,-181.08096706,0.93363374,0.43670963,-0.59831545,4.02156487,-3.61596186,-17.24967622,6.99027904,0.12200338,14.84606765,10.75570195,-7.49999987,-0.04924007,-6.46402095,-17.204538,4.47493874,0.07810241,19.78564741,7.78617096,-7.49999987,-16.69376505,4.82132003,-0.28314958,-0.74288924,-6.4036741,-23.80054117,28.61183849,103.09993303,-4.88133963,-5.92431515,-11.57049369,32.71619645,107.29374679
44,0.36666667,-89.49982413,2.25049861,-181.17620311,0.93372246,0.43646518,-0.59814574,4.07932109,-3.8374352,-17.36750811,7.03869963,0.12284848,14.98982964,11.00806375,-7.49999987,-0.12612207,-6.20949053,-17.0780691,4.26944153,0.07451581,19.6225839,7.4710759,-7.49999987,-16.81788202,4.64701579,-0.17773073,-0.8086103,-6.37026862,-23.87338598,28.56366426,102.73702247,-4.95242413,-5.9472859,-11.27732776,32.76100038,106.7861518
45,0.375,-89.48830649,2.1917436,-181.2086994,0.93384919,0.4362864,-0.59809343,4.03393082,-3.87523006,-17.19223727,6.90083459,0.12044228,14.96096777,10.89971789,-7.49999987,-0.38306931,-6.01658027,-16.26247793,3.68397336,0.06429746,19.17716281,6.52545795,-7.49999987,-16.93236267,4.59233588,-0.14949847,-0.82893279,-6.34341152,-23.90868969,28.4347385,102.23282943,-5.05978178,-5.92260422,-11.23419635,32.79841152,106.60929109
46,0.38333333,-89.45988166,2.28832956,-181.13425367,0.93386906,0.43603012,-0.59809103,4.03058027,-3.74758992,-17.24136529,6.83626894,0.1193154,14.9762907,10.8370432,-7.49999987,-0.25812572,-6.19007316,-16.37899677,3.81952188,0.06666323,19.28820802,6.85960948,-7.49999987,-17.0442735,4.70306007,-0.18428311,-0.88081602,-6.33975552,-24.00743069,28.38600976,102.41154941,-5.11662824,-5.86195471,-11.3891623,32.72445382,107.10728796
