frame,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l
347,2.89166667,-88.88799584,4.40121395,-182.52962669,0.93419028,0.40694742,-0.60099289,8.39151642,-0.97005055,-12.24667839,12.24432454,0.21370378,35.99667653,3.30456036,-7.49999987,9.69831566,-11.33270561,-15.38553146,21.03763558,0.36717601,39.0855271,4.55877605,-7.49999987,-16.82428307,7.85694449,-1.52959307,-7.07195713,-12.41368724,-1.61923009,12.47583181,91.67615212,-7.2551294,-9.08648727,-2.18917327,21.70735499,106.02637454
348,2.9,-88.99843102,4.7577353,-182.4613488,0.93366418,0.40716305,-0.60071153,8.28082119,-0.60297698,-12.08738017,12.37249009,0.21594069,35.8856873,3.06424947,-7.49999987,9.85504285,-11.94171901,-15.87333817,21.67488383,0.37829809,39.52315524,5.57584823,-7.49999987,-16.88272956,8.2729741,-1.40327148,-6.11279405,-12.17655541,-2.75058126,12.83739005,92.06629186,-6.09352777,-8.68129666,-2.80168152,21.88361396,107.81913247
349,2.90833333,-89.0850893,5.22143349,-182.52571512,0.93315537,0.40768009,-0.60066505,8.14487731,-0.04733016,-11.92962451,12.35840854,0.21569492,35.79661534,2.71340003,-7.49999987,9.93296586,-12.69501353,-16.45503369,22.23038585,0.38799343,39.88092138,6.36095515,-7.49999987,-16.9011442,8.79964912,-1.17514791,-4.93511471,-12.15671784,-1.26768577,12.57578521,91.21531534,-4.95991435,-8.30109644,-2.35188477,21.92963997,106.92383237
350,2.91666667,-89.15905821,5.50558084,-182.6531749,0.93266102,0.40794942,-0.60065878,8.13959395,0.28349399,-11.75105485,12.52517199,0.21860549,35.69236485,2.49403855,-7.49999987,9.96148103,-13.20208601,-16.9882313,22.62609091,0.39489978,40.09176531,7.00868604,-7.49999987,-16.96080617,9.11723981,-0.82214568,-3.9927129,-11.87261983,-2.59943716,13.05884334,91.38914368,-3.68554346,-7.98001211,-2.19771524,21.92984568,108.12579882
351,2.925,-89.18628036,5.94074429,-182.66273332,0.93210688,0.40779824,-0.60068088,8.14226292,0.81239411,-11.41528,12.52523549,0.2186066,35.34587466,1.94105065,-7.49999987,10.15738157,-13.89984721,-17.37358184,23.13702321,0.40381723,40.28660054,7.64297985,-7.49999987,-17.01956306,9.61178181,-0.758186,-2.54995272,-11.84778884,-0.28053762,12.73652109,90.61808567,-2.50719837,-7.64999235,-1.96556152,22.11042817,106.64209327
352,2.93333333,-89.23356972,6.04198798,-182.76274506,0.93163229,0.40749458,-0.60020783,8.36065072,0.80530061,-11.38588896,12.95410635,0.22609181,35.21855648,1.97198267,-7.49999987,10.21431313,-14.08354829,-17.63228731,23.38842807,0.40820508,40.48161335,7.93081823,-7.49999987,-17.12122131,9.74170179,-0.44016615,-1.55190221,-11.51401919,-2.38714603,13.560388,91.01955991,-1.09278094,-7.4201925,-1.48579446,22.16011782,108.0997754
353,2.94166667,-89.2684884,6.58076241,-182.35140657,0.93112544,0.40763963,-0.59906049,8.25271716,1.33580756,-11.45607201,12.96529454,0.22628708,34.83371632,1.58737572,-7.49999987,10.55062727,-14.73591036,-17.32374692,23.9000335,0.41713428,40.72998279,8.1912073,-7.49999987,-17.10400317,10.50448355,-0.67367025,-0.31866354,-11.41155839,-2.11327943,13.84778533,92.18068236,0.11575997,-7.052345,-1.36555581,22.28363473,107.51936168
354,2.95,-89.31788135,6.82846467,-182.35187737,0.93075172,0.40792563,-0.59873397,8.18285896,1.62175696,-11.31128917,13.03627276,0.22752588,34.49670669,1.53966866,-7.49999987,10.61223816,-15.11394381,-17.55899398,24.20090332,0.42238544,40.72587044,8.39651307,-7.49999987,-17.14204467,10.82714516,-0.51638731,0.84097618,-11.24450741,-2.11722325,14.25595078,94.08809131,1.40621444,-6.72877103,-0.84217158,22.36053363,106.89774547
355,2.95833333,-89.32925045,7.33157769,-182.21483144,0.9301753,0.40821109,-0.59866979,8.05082654,2.28077177,-11.12267983,12.74935077,0.22251815,34.08882821,1.28753631,-7.49999987,10.83201535,-15.83083104,-17.66394967,24.66284861,0.43044791,41.01363697,9.14624626,-7.49999987,-17.11397472,11.4138296,-0.48360031,2.05115592,-11.05861798,-1.58279092,14.64590523,94.68435389,2.6616486,-6.43817471,-0.50028565,22.60513879,107.40443751
356,2.96666667,-89.37198439,7.65186473,-182.29764426,0.92971438,0.40859788,-0.59878638,8.0273294,2.66836336,-10.95148612,12.69788481,0.2216199,33.65463605,1.19203578,-7.49999987,10.84758519,-16.3614986,-18.07930472,24.99960981,0.4363255,41.48947725,10.33812529,-7.49999987,-17.14529112,11.75918396,-0.26797741,3.30207888,-10.89205895,-0.3324496,14.94240072,93.88576967,3.98996084,-6.17904718,0.20328094,22.71392212,107.09558878
357,2.975,-89.40593889,7.90985855,-182.16695038,0.92915882,0.40909782,-0.59821171,8.22275903,2.83412803,-11.17218712,13.24773107,0.23121653,33.18972947,1.07830219,-7.49999987,10.96135354,-16.72691956,-18.14685942,25.31189123,0.44177584,41.72518523,11.09870009,-7.49999987,-17.11599596,12.1479597,-0.3016504,4.37031942,-10.68297479,-0.68339255,15.66839032,96.16198007,5.27527487,-5.84608321,0.81519105,22.68910144,106.62851155
358,2.98333333,-89.43290793,7.98535336,-182.12967277,0.92868514,0.40957875,-0.59739007,8.25370537,2.83389661,-11.15230123,13.45927191,0.23490861,32.83774094,1.13003815,-7.49999987,10.94795625,-16.78359227,-18.18627526,25.35609546,0.44254735,41.6080592,11.15030022,-7.49999987,-17.08407592,12.34651628,-0.37922847,5.6013463,-10.45372347,-0.5698626,16.29319385,96.19036195,6.42476119,-5.40012052,0.94893855,22.9922988,106.6544521
359,2.99166667,-89.41926071,8.63131159,-181.97945576,0.92804665,0.40951387,-0.59689552,8.22454164,3.49141911,-11.54815521,13.25935539,0.23141941,31.79114289,1.35630303,-7.49999987,11.42425889,-17.6647277,-17.96305237,26.09848407,0.45550448,41.26315021,11.12635574,-7.49999987,-17.1085483,13.12659231,-0.16420317,7.10391532,-10.52284094,2.38900565,16.3436914,94.93834169,8.02587114,-5.17659874,3.35630218,22.75395735,106.35550933
360,3.0,-89.45417562,8.86085903,-182.01918321,0.92758802,0.41009586,-0.59681695,7.97019029,3.88185057,-10.75978359,12.68794512,0.22144642,30.45747975,0.7467038,-7.49999987,11.46363788,-18.07128969,-18.31955649,26.33050922,0.45955408,41.194499,11.64937735,-7.49999987,-17.12259976,13.37651684,0.04880421,8.35699292,-10.23384849,2.39500905,16.75290398,95.06620848,9.2831612,-4.95737062,3.90238536,23.20661287,106.34613546
361,3.00833333,-89.47249626,9.17246508,-181.94455681,0.92709449,0.41044638,-0.59658748,7.9789275,4.18266857,-11.01526922,12.63507842,0.22052372,29.40020436,0.97587113,-7.49999987,11.55433214,-18.49806087,-18.39050927,26.48695326,0.46228454,41.25781585,12.03677378,-7.49999987,-17.12412293,13.75541538,0.1453602,9.64884357,-10.08405841,3.64666464,17.07021147,94.89663332,10.5697897,-4.78120895,4.9372869,23.46507152,105.90870403
362,3.01666667,-89.47558289,9.41893294,-181.87752674,0.92662045,0.41054528,-0.59615871,8.11502293,4.38575699,-11.12344692,12.75826715,0.22267377,28.34436959,0.80967679,-7.49999987,11.73184943,-18.89638762,-18.5264952,26.82041182,0.46810449,41.28894207,12.54509391,-7.49999987,-17.14079839,14.0880503,0.2993703,10.92891864,-9.91403241,4.77815779,17.63125045,93.48102166,11.97390038,-4.5945607,6.50918313,23.64720306,104.11145007
363,3.025,-89.45037172,9.84838179,-181.90722099,0.92610836,0.41054512,-0.59621306,8.0522472,4.9496054,-10.76960982,12.35213314,0.21558539,26.55488375,0.34874358,-7.49999987,11.98939653,-19.59292744,-18.68768928,27.32253931,0.47686827,41.2817033,13.04229036,-7.49999987,-17.18233826,14.56384486,0.57662549,12.24094706,-9.72076685,4.98171309,18.15483066,95.19625219,13.19688245,-4.29991349,6.52379719,24.14812317,105.87583753
364,3.03333333,-89.42250702,10.08690759,-181.81201039,0.92553207,0.41065781,-0.59594127,8.12574904,5.08432645,-11.81984212,12.21863171,0.21325535,25.17569718,1.45678596,-7.49999987,12.28207199,-20.0555206,-18.83406684,27.83847592,0.48587306,41.45274717,13.88508926,-7.49999987,-17.16192939,14.85016301,0.70248237,13.58704091,-9.52533081,6.29347808,18.56794976,93.67175794,14.61772231,-4.14895708,8.26925323,24.24534527,104.11082351
365,3.04166667,-89.44852449,10.43991338,-181.63719552,0.92481219,0.41234804,-0.595546,7.88334799,5.56670373,-11.15651285,11.82140621,0.20632246,23.55241231,0.25459853,-7.49999987,12.36391012,-20.54719763,-18.80969523,28.15074979,0.49132327,41.58070138,14.23636259,-7.49999987,-17.00031852,15.308402,0.65896541,14.68809129,-9.2509315,6.34436175,19.02326177,95.06321132,15.65386277,-3.84851079,7.95903146,24.70841099,106.16445867
366,3.05,-89.46642983,10.5781011,-181.84417103,0.92435994,0.41316362,-0.59574983,7.99649472,5.66478309,-11.07731952,12.08236093,0.21087698,22.64811192,0.58505492,-7.49999987,12.29354105,-20.87401617,-19.27489548,28.37236671,0.49519122,41.60380071,14.57646433,-7.49999987,-17.01899556,15.43684589,1.01051911,15.85929053,-8.97889255,6.33582289,19.58251987,95.81118355,16.94783238,-3.71007556,8.30998219,25.27276987,107.17100889
367,3.05833333,-89.468825,10.84867956,-181.99757259,0.92394985,0.41366881,-0.59576084,8.13730358,5.91904128,-10.95726788,12.32766565,0.21515835,21.81382247,0.57454129,-7.49999987,12.29955089,-21.30847296,-19.68637347,28.58930062,0.49897743,41.59780443,14.77984921,-7.49999987,-17.04556706,15.74885587,1.3867871,17.16116435,-8.86370143,7.41204324,20.05939566,95.12469211,18.23847248,-3.44668842,8.89738602,25.82439731,106.86180485
368,3.06666667,-89.48563156,10.86828983,-182.18584228,0.92364575,0.41429901,-0.59575136,8.24414068,5.8852945,-10.83705587,12.61326611,0.22014302,21.14590126,0.53820873,-7.49999987,12.2016416,-21.37506446,-19.93456092,28.63955915,0.4998546,41.4395666,14.70837094,-7.49999987,-17.07541564,15.76023944,1.77972195,18.39415811,-8.64961562,7.83236427,20.62419194,95.66066704,19.48892922,-3.12713021,9.37962801,26.02631143,107.26770214
369,3.075,-89.49828467,11.14667366,-182.23150421,0.9231253,0.41547166,-0.59580482,8.13053095,6.17674597,-10.92540591,12.55383721,0.21910579,20.57763178,0.47039831,-7.49999987,12.18200343,-21.86472168,-20.27270011,28.8446186,0.50343357,41.26842501,15.11703576,-7.49999987,-17.03870337,16.05210708,2.04012569,19.62767792,-8.43986189,8.827622,21.07190398,94.62496926,20.58665091,-2.89057524,10.13370591,26.34134116,106.17343725
370,3.08333333,-89.51365639,11.15271122,-182.27244425,0.9225894,0.41641677,-0.59584409,8.1508086,6.14675834,-10.89634499,12.69341528,0.22154189,20.12146628,0.11536565,-7.49999987,12.09979834,-21.98171389,-20.60640766,28.83386057,0.5032458,41.03134478,15.38574878,-7.49999987,-17.00944759,16.01574909,2.19961373,20.83842265,-8.13060517,9.36865606,21.51258233,95.01893918,21.74459767,-2.82476806,10.36215386,27.02324871,107.28381741
371,3.09166667,-89.51687161,11.28881308,-182.31402704,0.92226352,0.41753912,-0.59578555,8.06276835,6.24703843,-11.22030977,12.64523373,0.22070096,19.54878572,0.34471115,-7.49999987,12.00772189,-22.16527219,-20.65755138,28.76549444,0.50205259,40.63928711,15.40517944,-7.49999987,-16.94038666,16.17316883,2.43102972,21.98811446,-7.83986092,9.91160845,21.9208289,94.96383277,22.75861197,-2.50611135,10.52541798,27.4280732,107.09494631
372,3.1,-89.52891373,11.45252139,-182.41049371,0.9221276,0.41898429,-0.59568959,7.79790398,6.38586908,-11.64046785,12.3460578,0.21547936,18.77435226,0.98597415,-7.49999987,11.83459677,-22.45814232,-21.05729045,28.78592841,0.50240923,40.10723701,15.40694994,-7.49999987,-16.84356487,16.38742676,2.66704317,23.1170396,-7.580428,10.84174286,22.37715569,92.99019274,23.69682188,-2.14955859,10.9586924,27.82250809,104.65320064
373,3.10833333,-89.51864035,11.71730889,-182.49866971,0.92204383,0.42001174,-0.59591006,7.47773638,6.80186472,-11.18447482,11.77763378,0.20555849,17.33237624,0.37124269,-7.49999987,11.80160785,-22.83806092,-21.22511014,28.9000145,0.50440041,39.62816522,14.8836454,-7.49999987,-16.80145029,16.663433,2.9242922,24.23875231,-7.29302423,11.15303284,22.88640446,93.81912019,24.84148753,-1.99500005,11.51887362,28.04476198,106.25216501
374,3.11666667,-89.52240787,11.85639533,-182.46316561,0.92186751,0.4212512,-0.59592422,7.34117032,6.94803905,-11.51007921,11.61095654,0.20264942,16.2185955,0.5229818,-7.49999987,11.77790407,-23.02545556,-21.24367717,28.95851658,0.50542146,39.39802353,14.80236809,-7.49999987,-16.69342257,16.80971978,3.04010107,25.30589343,-6.97254904,11.5594488,23.48867258,94.17600136,25.86835879,-1.78957223,11.65865849,28.37287342,106.31852556
375,3.125,-89.52215565,12.15132728,-182.45581917,0.92157364,0.42291027,-0.59602918,7.09985806,7.32085279,-11.65746697,11.2696581,0.19669264,15.08168186,0.41099293,-7.49999987,11.85559638,-23.47685577,-21.10700907,29.3589588,0.5124105,39.3579372,14.91081261,-7.49999987,-16.54244778,17.14620249,3.2374957,26.3507562,-6.73104916,12.34555707,24.07237638,93.18537507,26.75949945,-1.51918377,11.86329654,28.85173842,105.02912884
376,3.13333333,-89.51456533,12.30077293,-182.52301968,0.92133487,0.4243504,-0.59615788,6.91917779,7.56113503,-11.47936826,10.95947339,0.19127889,14.13453437,-0.10085497,-7.49999987,11.87875366,-23.71487236,-21.05725975,29.6327048,0.51718827,39.21513584,14.86305367,-7.49999987,-16.43003773,17.30765551,3.48152769,27.42294378,-6.48034764,12.95843211,24.56984608,93.06468164,27.64835929,-1.20581984,11.80227272,29.29657124,105.12399446
377,3.14166667,-89.51885927,12.24454927,-182.77549953,0.92123706,0.42563764,-0.59653191,6.8165772,7.56258749,-11.10945717,10.88972074,0.19006148,13.81054169,-0.34027002,-7.49999987,11.5965823,-23.68229407,-21.43691675,29.48927378,0.51468492,38.97920661,15.0335702,-7.49999987,-16.37680351,17.18326808,3.86439448,28.4524885,-6.18876809,13.41982459,25.0914426,93.11168661,28.51072495,-0.88777026,11.67802688,29.74516707,105.43228138
378,3.15,-89.51829956,12.29661706,-182.93478604,0.92108488,0.42719969,-0.59694156,6.65226204,7.70225102,-10.65026081,10.79809345,0.18846228,13.72775272,-0.75543767,-7.49999987,11.37195545,-23.8056277,-21.75796101,29.44455535,0.51390444,38.85157248,15.37182889,-7.49999987,-16.26481805,17.18011282,4.16443831,29.38346354,-5.89738273,14.0676629,25.68265781,92.18614452,29.33977596,-0.66469523,11.98144748,30.26740924,104.56239652
379,3.15833333,-89.55381827,11.79350032,-182.7584677,0.92108127,0.4287584,-0.59628246,6.60995858,7.0331889,-11.00675528,10.97557412,0.19155991,14.04660306,-0.40388414,-7.49999987,11.17362482,-22.91802364,-21.16794137,29.07308542,0.50742106,38.53296937,14.68855152,-7.49999987,-16.06034336,16.65491445,3.99736614,30.30591378,-5.51681277,14.83525824,26.27560744,89.49593689,30.24840638,-0.59809038,12.94068541,30.72839748,101.01921103
380,3.16666667,-89.52601482,12.30678875,-183.02947292,0.92087893,0.43079891,-0.59758347,6.31005216,7.85076222,-9.90064776,10.64948826,0.18586863,13.68383554,-1.52559507,-7.49999987,10.97599788,-23.90096655,-22.17171986,29.42132862,0.51349905,38.79742845,16.03123453,-7.49999987,-15.94499632,17.13570164,4.45790083,31.11294853,-5.26542535,14.97624997,27.08898055,91.15132099,30.85617325,-0.24733899,12.05026282,31.20046239,103.86921252
381,3.175,-89.54689436,12.18824436,-183.42724645,0.92095261,0.43272817,-0.59841215,6.26126086,7.75194256,-9.49549444,10.90872892,0.19039324,13.93835893,-1.56163422,-7.49999987,10.48650559,-23.86635282,-22.80906819,29.2936084,0.51126992,38.91832122,16.42444692,-7.49999987,-15.85852142,16.89567819,4.94196644,31.88668896,-4.90963677,15.01005133,27.8505007,91.39151177,31.44458906,0.11750267,11.59826251,31.72943615,103.89508825
382,3.18333333,-89.56384784,12.38621174,-183.48020074,0.92091703,0.43529914,-0.59874949,6.07093307,7.95515149,-9.69200622,10.97570253,0.19156215,14.15577938,-1.30027891,-7.49999987,10.20616088,-24.17985701,-23.15624875,29.24810554,0.51047574,39.07694413,16.84218589,-7.49999987,-15.6379265,17.09935097,5.15108472,32.60974146,-4.55259392,15.14007221,28.48477958,91.4120195,31.94352122,0.45488832,11.49212567,32.32556034,103.81132756
383,3.19166667,-89.57713692,12.55748508,-183.55076996,0.92101104,0.43803348,-0.59920276,5.63807351,8.22445595,-9.39609056,10.58124338,0.18467754,14.05059333,-1.47978241,-7.49999987,9.91781631,-24.47731264,-23.57564933,29.22582075,0.5100868,39.06387749,17.13340463,-7.49999987,-15.39102286,17.26278249,5.36439903,33.279643,-4.08252463,14.99332496,28.9997074,90.9630719,32.44297236,0.74040493,11.61445903,32.82521205,102.95930524
384,3.2,-89.58376229,12.72012583,-183.62052619,0.92098197,0.44058595,-0.59974512,5.32557827,8.46465229,-9.24838531,10.39437435,0.18141606,13.89017796,-1.60276457,-7.49999987,9.659166,-24.74817311,-23.66996609,29.24574835,0.5104346,38.98564098,17.21810766,-7.49999987,-15.1307921,17.39095304,5.58690895,33.9485131,-3.67321736,15.05360389,29.50268572,90.47373711,32.92830187,0.94608316,12.12607069,33.46835529,102.05352947
385,3.20833333,-89.58382715,12.71981294,-183.78240448,0.9208581,0.4427413,-0.60042716,5.28628878,8.45443603,-9.32951837,10.6679923,0.18619159,14.07368469,-1.30256721,-7.49999987,9.37676019,-24.83546444,-23.79422677,29.20841801,0.50978306,38.85360256,17.41108061,-7.49999987,-14.90880447,17.29082305,5.88870255,34.62659259,-3.31732562,15.23284397,30.13828264,90.18838245,33.41084253,1.10625422,12.53401181,34.24299997,102.30382198
386,3.21666667,-89.56478329,12.87851712,-183.7512664,0.92066025,0.44485628,-0.60072503,5.10351265,8.68042393,-9.12347342,10.55760822,0.18426502,13.84983922,-1.55370756,-7.49999987,9.2965224,-25.02844484,-23.6391544,29.24370188,0.51039888,38.40469606,17.32586202,-7.49999987,-14.64744277,17.45680664,6.00167759,35.37589765,-3.10187905,16.11657287,30.84015292,88.76965017,33.87357047,1.25906045,13.04414436,35.00783819,101.23650441
387,3.225,-89.5656181,12.93553617,-183.70811854,0.9204751,0.44748662,-0.60103288,4.88450038,8.7691952,-9.0933253,10.47178268,0.18276709,13.77462582,-1.51683371,-7.49999987,9.10368912,-25.12635383,-23.81083044,29.19416499,0.5095343,37.70223285,17.3902984,-7.49999987,-14.34941336,17.50698644,6.01729101,35.97676746,-2.78689259,16.65186131,31.51307283,88.36425012,34.26615901,1.40829338,13.48569029,35.62106508,100.52241315
388,3.23333333,-89.57280676,12.91878346,-183.77571078,0.92033887,0.45037027,-0.60149484,4.6209039,8.8021408,-8.92301344,10.36277698,0.18086458,13.75160032,-1.51168693,-7.49999987,8.82376855,-25.19946968,-24.32709173,29.12878,0.50839312,36.81390925,17.6018795,-7.49999987,-14.05966131,17.45729384,6.09077282,36.50821972,-2.56969306,16.86400105,32.29412849,87.73107257,34.54268287,1.62089667,13.7040784,36.25179758,98.99194526
389,3.24166667,-89.59310819,13.14897274,-183.69968748,0.92013506,0.45349091,-0.60159348,4.23747303,9.1295746,-8.66525561,10.07855179,0.17590391,13.59576926,-1.76174112,-7.49999987,8.64157122,-25.53791901,-24.73504751,29.13411007,0.50848615,35.94691464,17.8353131,-7.49999987,-13.73163255,17.75075066,6.10666576,36.99767602,-2.24368451,17.30886296,33.01540779,86.9619276,34.76390664,1.85204898,13.99272772,36.92530675,97.60912469
390,3.25,-89.6196464,13.21478174,-183.71848646,0.91998656,0.45656927,-0.60152564,3.98807196,9.19814017,-8.6827767,10.06232594,0.17562072,13.59891612,-1.55103989,-7.49999987,8.40746436,-25.56564852,-24.90301455,29.09452608,0.50779527,35.12538469,17.88053627,-7.49999987,-13.42412077,17.86888486,6.17813839,37.41291996,-1.84801996,17.57536827,33.76298685,86.89105323,34.98349058,2.0431518,14.37927901,37.62943265,97.21301361
391,3.25833333,-89.63924571,13.31632311,-183.65671139,0.91969746,0.45954194,-0.60175187,3.63027978,9.39976705,-8.37262923,9.81506165,0.17130514,13.46043938,-1.86831643,-7.49999987,8.29526192,-25.61070344,-24.53828124,29.1208303,0.50825437,34.5923117,17.77453299,-7.49999987,-13.11353557,17.98104724,6.18702764,37.89137026,-1.67951511,18.34321949,34.66074125,85.41339558,35.23060739,2.19981853,15.00186776,38.45971614,95.84118752
392,3.26666667,-89.63130833,13.44525655,-183.5501783,0.91914947,0.4618356,-0.60223105,3.56390639,9.60683841,-8.2265359,9.97715693,0.17413424,13.608748,-2.1942289,-7.49999987,8.33721835,-25.70750328,-23.95621732,29.19526638,0.50955352,34.30598967,17.71535904,-7.49999987,-12.87347386,18.05006834,6.26312665,38.39148691,-1.6007141,18.72636878,35.6905564,84.8995951,35.58370796,2.39103638,15.41033296,39.27160878,95.7188326
393,3.275,-89.62886913,13.71559892,-183.4772406,0.9187533,0.46457551,-0.60276817,3.32667385,10.00402679,-7.78242205,9.90744901,0.17291761,13.63765742,-2.72762348,-7.49999987,8.31103275,-26.02226985,-23.64848831,29.34112204,0.51209919,34.14105459,17.66624494,-7.49999987,-12.59893434,18.29884071,6.33017875,38.74010276,-1.2607704,18.47029759,36.67684951,84.5152801,35.84978019,2.58367726,15.80719974,40.0839474,95.05888535
394,3.28333333,-89.64203837,13.84925696,-183.40959491,0.91844193,0.46751053,-0.6028889,3.13166889,10.14790738,-7.74952856,9.99366195,0.17442231,13.9035785,-2.62879643,-7.49999987,8.16889394,-26.12312239,-23.40116785,29.34298879,0.51213177,34.0761197,17.52561652,-7.49999987,-12.31119028,18.4666057,6.3725514,39.06545521,-1.17174131,18.96965561,37.77871004,83.64067821,36.00365706,2.74387237,16.30123993,41.0579697,94.32618571
395,3.29166667,-89.65743767,14.08181376,-183.14663149,0.91810895,0.47065978,-0.60292956,2.78565185,10.45770272,-7.81053654,9.77722416,0.17064475,13.96570375,-2.8077875,-7.49999987,8.13748392,-26.37620106,-22.99810675,29.41747228,0.51343175,33.98113829,17.33589745,-7.49999987,-11.93913467,18.77323,6.19594085,39.39491411,-1.04423197,19.53055166,38.77267879,82.82477124,36.135599,2.86955331,16.79197082,42.06517872,93.37311395
396,3.3,-89.67515721,14.07491198,-183.23422439,0.91789015,0.47401264,-0.60361469,2.5583569,10.4864273,-7.75732826,9.8702375,0.17226814,14.30576061,-2.79184886,-7.49999987,7.82157105,-26.53573801,-23.53468776,29.5438777,0.51563794,33.8943714,17.62111115,-7.49999987,-11.61271087,18.70847943,6.3362649,39.58923195,-0.75546283,19.45836637,39.67689235,83.09632,36.24628991,3.00452882,17.08318991,42.97381987,93.8403498
397,3.30833333,-89.6838589,14.43975472,-182.90770366,0.91740938,0.47727229,-0.60361029,2.33716219,10.89972609,-8.12952839,9.87705985,0.17238721,14.48372774,-2.68634833,-7.49999987,7.96184023,-27.18228118,-23.58132602,30.10438169,0.52542058,33.94000576,17.93965446,-7.49999987,-11.17865877,19.13469107,6.08394857,39.8054693,-0.49049391,19.64648028,40.68239693,82.00088717,36.34158978,3.11220182,17.52627731,44.02584596,92.27426185
398,3.31666667,-89.69979172,14.48723685,-183.15585945,0.9173681,0.48041461,-0.60443856,2.12107004,10.9947355,-7.65821921,9.98615607,0.1742913,14.66310593,-2.83826703,-7.49999987,7.6073011,-27.39129638,-24.16921438,30.30691505,0.52895545,33.9797139,17.99067097,-7.49999987,-10.92019668,19.12375577,6.34682995,39.98529554,-0.32350865,19.87808224,41.70994679,82.30632726,36.37460443,3.24940553,17.5625612,45.06815879,92.56366553
399,3.325,-89.70942657,14.66663651,-183.04089907,0.91711272,0.48344536,-0.6046639,1.87303141,11.24221485,-7.44987546,9.90150064,0.17281379,14.67710823,-3.16468993,-7.49999987,7.46138698,-27.69200892,-24.35863782,30.45810291,0.53159418,34.10313034,18.30327081,-7.49999987,-10.57962312,19.33112656,6.24929809,40.15558293,-0.19591141,20.13909495,42.77670296,82.35590307,36.40553275,3.50901457,17.69273781,45.99246977,91.74505052
400,3.33333333,-89.71436876,14.82923833,-182.91953815,0.91694457,0.48647106,-0.60480611,1.74698885,11.42677131,-7.49859378,10.04775999,0.17536649,14.80539783,-3.20751079,-7.49999987,7.32817294,-27.96910387,-24.4726644,30.58057209,0.53373167,34.17017123,18.68461415,-7.49999987,-10.24168187,19.52772235,6.13110251,40.25652074,-0.0337428,20.15985073,43.82903512,82.94429018,36.37590092,3.78042464,17.84169584,46.84978535,90.69545724
401,3.34166667,-89.7230913,14.82048269,-182.97066463,0.91698199,0.48957592,-0.60529773,1.6854046,11.40476403,-7.42096497,10.39343719,0.1813997,15.04305587,-3.14465622,-7.49999987,7.07327221,-28.05042514,-24.70860427,30.66543891,0.53521288,34.15547458,18.83927692,-7.49999987,-9.92436981,19.47686876,6.22472611,40.31769227,0.04909158,20.05177332,44.78625988,83.09626883,36.33867882,3.87125787,17.80798253,47.80075324,90.17499439
402,3.35,-89.72831615,14.92462915,-182.80820504,0.91689203,0.49274714,-0.60533917,1.5999027,11.51530466,-7.42839489,10.61499669,0.18526664,15.11511224,-3.30518871,-7.49999987,7.01458743,-28.22959885,-24.50688333,30.88959586,0.53912515,34.18388698,18.90986682,-7.49999987,-9.53851278,19.61693135,6.14540884,40.38377089,-0.00996512,19.90654181,45.86172703,82.77718635,36.23694037,4.12041652,17.52233011,48.79574089,89.71574098
403,3.35833333,-89.73720283,14.5588941,-182.85047218,0.91698361,0.49552206,-0.60524049,1.73386618,11.04140338,-7.31510441,11.20728141,0.19560396,15.41705329,-3.45124403,-7.49999987,6.74004846,-27.66626165,-24.19514936,30.78391571,0.53728069,34.16634822,18.33291023,-7.49999987,-9.23814002,19.21752052,6.16198183,40.41629893,0.01386961,19.08912,46.90111749,84.35912279,36.23574036,4.35077085,17.12990605,49.62559913,89.76192444
404,3.36666667,-89.73728724,14.51492473,-182.83764156,0.91689201,0.49815139,-0.6052455,1.87118455,10.92579209,-7.43261195,11.8148122,0.20620737,15.68029125,-3.37684921,-7.49999987,6.62740839,-27.59035829,-23.94667091,30.89145006,0.53915751,34.13962571,18.09329383,-7.49999987,-8.98417934,19.16316947,6.29526798,40.72145164,0.20081413,19.89449299,47.62044343,81.18559711,36.31187227,4.42794829,16.95664102,50.64075851,89.08266897
405,3.375,-89.7422108,14.48614055,-182.63644437,0.91691666,0.50079896,-0.60516214,1.92506582,10.89535858,-7.39871446,12.21703046,0.21322741,15.67624369,-3.88586977,-7.49999987,6.67673948,-27.54629992,-23.42846774,31.03877415,0.5417288,34.05230069,17.87022583,-7.49999987,-8.65783478,19.13085022,6.11015334,40.79465564,0.33092535,19.51464937,48.52765495,81.43785692,36.31041301,4.43850931,16.37893422,51.7008967,89.97935802
