frame,time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,pelvis_tilt_vel,pelvis_list_vel,pelvis_rotation_vel,pelvis_tx_vel,pelvis_ty_vel,pelvis_tz_vel,hip_flexion_r_vel,hip_adduction_r_vel,hip_rotation_r_vel,knee_angle_r_vel,knee_angle_r_beta_vel,ankle_angle_r_vel,subtalar_angle_r_vel,mtp_angle_r_vel,hip_flexion_l_vel,hip_adduction_l_vel,hip_rotation_l_vel,knee_angle_l_vel,knee_angle_l_beta_vel,ankle_angle_l_vel,subtalar_angle_l_vel,mtp_angle_l_vel,lumbar_extension_vel,lumbar_bending_vel,lumbar_rotation_vel,arm_flex_r_vel,arm_add_r_vel,arm_rot_r_vel,elbow_flex_r_vel,pro_sup_r_vel,arm_flex_l_vel,arm_add_l_vel,arm_rot_l_vel,elbow_flex_l_vel,pro_sup_l_vel,pelvis_tilt_acc,pelvis_list_acc,pelvis_rotation_acc,pelvis_tx_acc,pelvis_ty_acc,pelvis_tz_acc,hip_flexion_r_acc,hip_adduction_r_acc,hip_rotation_r_acc,knee_angle_r_acc,knee_angle_r_beta_acc,ankle_angle_r_acc,subtalar_angle_r_acc,mtp_angle_r_acc,hip_flexion_l_acc,hip_adduction_l_acc,hip_rotation_l_acc,knee_angle_l_acc,knee_angle_l_beta_acc,ankle_angle_l_acc,subtalar_angle_l_acc,mtp_angle_l_acc,lumbar_extension_acc,lumbar_bending_acc,lumbar_rotation_acc,arm_flex_r_acc,arm_add_r_acc,arm_rot_r_acc,elbow_flex_r_acc,pro_sup_r_acc,arm_flex_l_acc,arm_add_l_acc,arm_rot_l_acc,elbow_flex_l_acc,pro_sup_l_acc
0,0.0,-89.68771884184859,9.52152995633778,-180.6630191083825,0.9261763500619571,0.45117174606560756,-0.6088638525824983,0.8040190234061035,6.129809182566665,-13.6159150101008,2.1081377124286242,0.036793942092473254,9.125552110992007,7.6389382200083,-7.542867169975739,4.261336785131504,-20.07564035783751,-30.4637775105825,18.25167460714333,0.3185518190840484,29.70728694069519,26.360277936202873,-7.542867169975739,-11.578244567419295,12.113279420123453,0.8655504907922842,2.827583693902367,-6.542771723678655,-19.4435204732046,29.76838859906607,101.3646656235629,1.258807148983381,-5.111631829795844,-8.244493508538627,30.74866011940126,105.35004432380344,-0.09688996135537309,-46.059059937741495,20.572701733713984,-0.02040100086406227,-0.09969629679357794,0.09991577625254422,-4.190480492327708,-73.84074306315819,28.258454223744252,-5.632216224721404,-0.09830076121880782,42.32183689280498,20.975427301488196,4.298558851011421,4.763813228524384,78.0840482001986,68.73624249809563,-23.097349581122216,-0.4031253746706156,-47.17944187194212,-106.46964243759817,4.298558851011421,-40.498033262119975,-45.42097881435154,-44.3177361271533,12.712756998848988,8.303250071108437,-36.43753198890522,15.117137002108848,85.17254768930343,-20.406090934921046,4.829989502951378,-107.02796183611167,57.73138184660479,60.047282825413276,-67.53655865424587,-1375.904160737301,-1322.5547258959277,3.3782802970067873,2.675966672373297,-1.4977644242411188,190.74162040743965,-905.2642931504215,-928.6273049242528,-1469.9133595189383,-25.654794227556362,-6181.179213480919,2907.930139299359,-235.28713426503202,-2141.9787500529915,2999.454900844137,2011.6662354053492,-4157.26023680392,-72.55782912694862,-53.01598013490866,-2386.027378220322,-235.28713426503202,1898.0998514051882,-1735.6088137352272,2395.1160361931024,-1369.0702298673882,-448.8588509042312,2705.023537586373,-910.1047834588255,-6430.359131764277,1142.202046870672,-945.7807707008872,7708.485612859878,-3742.442851725231,-4513.0046095180605
1,0.00833333,-89.69006301770355,9.129180251576269,-180.53425616799342,0.9261178806614988,0.45042729542873866,-0.6081237433037073,0.7791958852767527,5.53283803303321,-13.413947380917634,2.0338519280540566,0.035497411046046375,9.309051834128494,7.856434225781409,-7.51484734794493,4.250710690084336,-19.393114970684703,-29.872965189087772,17.960424137942013,0.31346853618444404,29.317933249703465,25.46110319556319,-7.51484734794493,-11.85522396893703,11.716679382548776,0.5791906030767108,2.8899294861662748,-6.490947447225108,-19.66551178359609,29.864688601348085,101.87190886655533,1.1219634237308658,-5.098380134750309,-8.894148816073013,31.11305923849435,105.71571710435487,-0.46571246887651796,-48.104906870607806,10.330416320923177,0.006368339140998103,-0.07897192752225024,0.07771052170783577,-1.767075041738721,-69.43239013412443,20.213796169115767,-12.196379156613034,-0.21286681439067467,1.7181142759322938,31.223634963682628,2.426201126286685,-7.314077059950165,85.72211023893897,73.05877137864536,-46.80279098725009,-0.8168630092297953,-46.26548134404152,-109.33238163673559,2.426201126286685,-25.977049692169544,-49.76306827718997,-24.40866441514457,2.250239129687259,4.134581252875535,-16.84040381622617,7.9948727903770305,36.56587932424918,-12.436416262685519,-1.6495814198598282,-48.889374339075175,29.724441718065464,27.71421961152828,-20.98087855780378,884.9007004480022,-1135.5947564336589,3.0463638740653707,2.2978839422855972,-3.8314987981942012,390.87592038093374,1963.2694193205753,-1002.0914004740667,-105.48637429494619,-1.8410695320371824,-3563.7181125274565,-448.3593165443664,-214.07889941531818,-756.7160786588317,-1166.3192782921992,-974.2588891104801,-1532.0479763900541,-26.73924288608329,272.36659457129826,1698.9696956042699,-214.07889941531818,1586.9375993978958,693.5069258132507,2383.063085960643,-1141.935063133544,-551.6220656640321,1998.289105181656,-799.2393110944488,-5235.245942090773,770.5206395549293,-609.3168728128596,6244.780967735514,-2979.2254677915353,-3246.9336657896492
2,0.01666667,-89.69548072157046,8.719781327686146,-180.490845571022,0.9262824893365617,0.4498555472175741,-0.6075686771837187,0.7745677910542771,4.972602492973513,-13.279018420349514,1.9048646201888078,0.03324615999741141,9.154186948613791,8.159332342630599,-7.502430495173878,4.139435355639769,-18.646938158400825,-29.246131034183854,17.4716276976253,0.3049374287366296,28.936195439882507,24.538071182521932,-7.502430495173878,-12.011195337002363,11.283894739539138,0.45873953493516323,2.8650875822727104,-6.473862064035505,-19.724193730304982,29.901636434332577,101.97409658145301,1.0515335828473626,-5.139124923754527,-9.059315995768237,31.24406730038092,105.81194775304549,-0.44657087503128423,-31.310689372543607,1.6461205441046332,0.0303717372057406,-0.061398227210034406,0.03605742684028712,2.324121484951789,-41.119550844896196,11.556926807563741,-7.390309170313714,-0.12898502141893609,-17.07345068708628,13.502736968302997,0.7305766925755961,-7.848110085541379,58.645348016497564,52.49856123945551,-48.631461375644676,-0.848779053716676,-42.6399944673708,-78.15343433096609,0.7305766925755961,-14.049071093987436,-33.86250344793564,-4.600010204795204,-6.319495588473927,-0.890453889665082,-3.132713975595834,1.7964802617257192,-2.081556845223531,-7.564081424086396,-5.325290377011527,-2.9482728616384293,8.077621751506058,5.931723566523942,53.880975415084556,4141.575451342982,-660.9795512995527,1.8998627669314554,1.4011800653910735,-6.5175598377959565,616.9662758415351,5950.979094140966,-712.6095423251471,1988.6674859474497,34.70878415536052,1060.088759195278,-5909.514314529437,-149.35436581280896,1415.4476448476753,-7178.367844791548,-5222.901822080794,2878.0737783196887,50.23188220463034,1015.4757566049286,7311.666528715386,-149.35436581280896,877.3909957179384,4248.004906440641,2008.0611933284138,-670.5473605261229,-649.1705856988613,665.8822260223606,-461.2615388378192,-2864.351850414604,109.08761807828932,-4.5108480299755485,3186.212516109717,-1400.651241455856,-1060.8640191411964
3,0.025,-89.69750587118037,8.607334967988947,-180.50682074884173,0.9266240761704594,0.44940399129301406,-0.6075227854585025,0.8179311935165418,4.847511526380213,-13.221331802911163,1.9106799221514534,0.03334765743581797,9.024494235559159,8.081480343828801,-7.502671052111202,4.119908719066625,-18.415691690343,-28.997988539005707,17.149899419095227,0.2993222122941776,28.607266469743887,24.158545043996327,-7.502671052111202,-12.089375294016564,11.152303850776145,0.5025235539147467,2.784604605396074,-6.505788289540443,-19.71772377181397,29.89462999777687,101.83721653241103,0.995895357032644,-5.187134983399749,-8.94328704436315,31.247686447478095,105.8145792958882,0.43230293596570846,20.921321931632974,-0.6859193600321305,0.03803274453357375,-0.055618907608561585,-0.03091546693013214,8.515695758380922,29.750563536030654,8.336961564056423,20.948057332628707,0.3656125443687024,19.386197494694215,-67.26821431673596,-0.06303988418210338,16.276692148389856,-33.91729918568058,-13.989554618835427,1.165052961413494,0.020334113718210034,-29.34089362405348,12.528680143535212,-0.06303988418210338,-11.353852426268077,21.03698085809208,9.059036213370085,-8.925559603968026,-6.684929749337641,-5.742344915473041,0.3071732879789124,-11.173363197214712,-10.618279419252445,-1.7247709668678226,4.2142247510722655,6.380225752343222,10.033118028978606,116.85497521550279,6094.108482216682,131.98887505514097,-0.2752866477116849,0.1649794911121183,-6.568389390385436,675.7985779723901,8020.999253355212,24.054107647371893,3626.4301862074676,63.29312181107599,5780.070525174055,-10435.444808143995,-38.34480217386712,3127.582070799334,-10806.010095619555,-7631.38674299998,6909.422043114838,120.59216197524803,2095.221984827016,10187.087027712656,-38.34480217386712,-86.29252943690358,6509.280705036587,911.7750134046639,-66.28587810099816,-584.3526830082957,-805.8983073209029,93.02809726350448,-21.90496178642576,-597.1983961228876,602.1629909119899,-710.4625103176422,588.3570877355385,898.7144280178704
4,0.03333333,-89.68827567551972,9.068469887071215,-180.50227755578308,0.9269163681585696,0.44892856579489077,-0.6080839347597844,0.916495996922654,5.468445020236934,-13.140069116528318,2.2539987694122376,0.03933969996613949,9.477290110950712,7.038195885806428,-7.503481159489981,4.410713449601652,-19.21222625204684,-29.479290184567414,17.491045239215175,0.3052763304963723,28.44718074175424,24.746882434722984,-7.503481159489981,-12.200426135081146,11.634510946927467,0.6097234114310899,2.716328315043641,-6.585277515291601,-19.8198994406139,29.906755987084402,101.78787393598851,0.8745623299816847,-5.167871095037184,-8.989078944678532,31.350404353718467,105.97916631997435,1.5010112661939274,70.25774470367787,3.845934248431149,0.02578362824579017,-0.05864857012469571,-0.07341568587687419,13.587426612501105,92.56371657102898,11.957828441325887,53.050169756942836,0.9258999201448517,79.26101953201112,-160.42127359779818,0.0914969119764919,44.278236910567045,-121.45474820376103,-74.69116693463252,66.52552661345567,1.1610895085897113,-7.719642021733762,91.63128155033132,0.0914969119764919,-15.4872793426523,74.62546490746945,10.59623394011577,-7.424259781584709,-10.629661377452123,-16.56434705828883,3.3469479292634787,-2.446639395630882,-17.517384044811884,4.710755457101698,-14.789309963849064,17.883569291384447,20.910291375392262,66.1239374485426,2423.7857661856106,563.75761282931,-1.4909837502914463,-0.0356523668531481,-1.0063138859698106,422.25408604218455,2941.5645844898677,-226.87837834947197,2150.7814659811947,37.53821831672617,4158.096701183837,-5451.0470802688,18.27569561853565,1512.6154758843645,-4208.282444665299,-2824.135114344771,4156.298777038967,72.541095836266,1987.7626557349108,3694.2645896162862,18.27569561853565,-242.17089443815257,2723.0312663364084,-406.9185672156057,87.22846623762695,-165.9127943984945,-664.413442495252,216.67512138614927,492.3873024158273,-516.4876693909274,332.16112449972746,-1243.401118044668,777.8546356716463,-35.783759064408514
5,0.04166667,-89.6724890038727,9.778297912340218,-180.44272176586637,0.9270538032080061,0.4484265148968241,-0.6087463805893909,1.044388384209246,6.390240805476651,-13.022034578236898,2.7948498319723742,0.04877932999499163,10.345511990472897,5.407791211252391,-7.501146099499072,4.857879669470083,-20.439938415999737,-30.24284190891927,18.258658929498456,0.31867371690621066,28.478605973462717,25.685733795888368,-7.501146099499072,-12.347496711241856,12.396062183197524,0.6791274428823466,2.660866933000106,-6.682949369749205,-19.993796364065233,29.950412512257685,101.79643927048458,0.703938838746164,-5.108622328763748,-9.18977577894404,31.545746106428115,106.16308424504251,1.534367538098195,61.31768951555705,8.710043131681232,0.013183009970319404,-0.0562131072834724,-0.04768728650967091,15.553261539518182,78.77655782901934,4.555641274311142,56.79438823876177,0.9912490475153031,88.68776250368114,-158.11890261148073,0.2415550983379262,41.48691817040054,-104.05522803332201,-61.058393403752916,70.43663936045732,1.229351332466731,3.788478461625118,74.09965299025816,0.2415550983379262,-15.390029730659876,66.42077022197077,2.277046909060303,-7.471753401132162,-9.4501373932477,-16.815891820551087,3.9184230713703982,-2.9669176120660268,-19.226402735952057,3.8112400799456623,-16.509110620517617,19.344460222102725,9.436695104374849,-54.20622732298817,-3942.3320352119754,196.586759826655,-0.7229110868209854,0.6794682088315542,5.087704388535368,100.38347056950931,-5298.573467549089,-1745.316074607948,-1123.3383217494911,-19.605925848922574,-2138.3558051510004,6341.883736728806,-0.8427825258198025,-2002.098019269164,7057.361965924679,4673.588073490536,-3403.70232274295,-59.405808174219686,74.86777683777149,-6015.357385058849,-0.8427825258198025,300.35000669999977,-4139.309213475097,-1006.540934389531,-107.12657373851346,435.6180491744872,361.12883264643585,-198.54884931485492,-97.80457963260218,114.66895709604023,-529.4833496108873,991.2085229435445,-562.4284210421274,-1623.0947587409144
6,0.05,-89.6627028709029,10.090432060621286,-180.35711017248863,0.9271360851015352,0.44799168040546355,-0.6088787236633592,1.1757170703017512,6.781388550085691,-13.06414155460127,3.200572258193211,0.055860523559002666,10.955420091613346,4.4028795646291545,-7.499455239606128,5.102162467524281,-20.946481264854725,-30.496930889512377,18.664989896883267,0.32576553103532613,28.51032206172718,25.981877669474073,-7.499455239606128,-12.456926727060722,12.741524504668684,0.6476743218674493,2.5917990831134414,-6.742779882089009,-20.10016444137712,29.972063077742423,101.7384253791261,0.554122195326493,-5.104350348361872,-9.264230994873907,31.67281217049896,106.1364448558382,0.5975751276355368,4.55225503286249,7.122388642943406,0.013735091939174993,-0.0473241054568625,0.011379364218441879,15.26048750026684,4.254213998903708,-17.13076147878394,34.327892102854975,0.5991349729323572,43.621814376217,-54.723311491288314,0.07745091073167032,10.909963258535015,-3.832124635507853,3.201922449075255,9.797220682728494,0.170993859610288,-6.471819369449122,-8.62461668728156,0.07745091073167032,-10.481450670083404,5.637027313415388,-6.179451490060508,-9.209701005769517,-3.3693649873193294,-10.545539803364363,0.03780512136609104,-4.076715341431736,-15.606240772664908,-4.113960370530833,1.730811437564057,8.50977515394925,-6.141288421988975,-98.91021883205602,-5812.250479375081,-679.4783793021556,0.5058777773691299,0.8928336817272111,4.671844728016035,-167.79989842079908,-7536.24752919248,-1656.5566768584304,-2624.6385440727922,-45.80857319292197,-5142.655608779149,11257.565134964974,-17.8562923846975,-3326.166551337593,10039.10687683124,5695.9810297304875,-6663.401623331517,-116.29829920652813,-1594.3764290145136,-7818.035080645642,-17.8562923846975,398.04645495120417,-6341.741538901429,-298.5117902817533,-226.6140804341294,693.2044911176018,168.90438420996702,-341.3120920969783,597.6523402532976,376.66576036665185,-788.5886697690896,1747.6336767263451,-1144.642461347847,-388.05187601372376
7,0.05833333,-89.66252942239593,9.854168799206224,-180.32401533596655,0.9272827213154251,0.4476377801213704,-0.6085567245949459,1.2987297408104435,6.461144343763619,-13.307547155344887,3.366981138167343,0.05876490888296443,11.072541939264417,4.495736384552996,-7.499855251503217,5.039712317712579,-20.503807134377368,-30.18947655611417,18.42194587556246,0.32152361342642305,28.37074236045069,25.54199024193112,-7.499855251503217,-12.522187485866908,12.490012600840931,0.5761366259110148,2.5073719776352874,-6.739105430408761,-20.169555290484375,29.951042597361752,101.72849404197216,0.44383492991002077,-5.17718830751286,-9.16092893319005,31.687575635595437,106.06072947895127,-0.11413544970127987,-35.55311305902444,-2.614591993498834,0.021614302887286385,-0.04133255187357676,0.030176761144964814,12.756597684504186,-46.827517415871796,-23.053625629618182,13.050430001805523,0.22777313302375823,2.9768699750660517,29.507107920834585,-0.056049655698416245,-13.949168844115661,63.26315298648615,33.874585785215004,-40.62000993905713,-0.708952878986743,-22.784451392773917,-56.20087956693533,-0.056049655698416245,-8.75592480178284,-39.274879814776114,-2.698147605556983,-11.248653230940448,2.1032661706823887,-14.000819876414198,-1.7701095214986253,6.993950741139997,-12.948642574279596,-9.331899158948033,12.61810567403029,0.2670934972550185,2.9691664244919593,-37.18365178076666,-2062.5891931536817,-1126.406351064935,0.7348717990564151,0.3596521586194257,-0.47536472819149367,-482.0094768903663,-2495.107340210576,933.3164333558746,-1847.942841257327,-32.252703842396436,-2938.036890365923,4757.626600962804,-5.677516635991261,-1565.6740309876982,3215.4310842018763,534.8941908978708,-2849.665022100272,-49.736046373047266,-1085.4391836982586,-1866.3258265072752,-5.677516635991261,-62.57974925821759,-2431.668345668361,875.2460875725299,-282.10044067020954,343.6205300993508,-738.5199279029254,125.40239604045235,1093.9656560920414,94.83127731984882,-198.42205997297242,214.76561957791802,-441.39545593415505,1524.1419173723093
8,0.06666667,-89.66460513147737,9.497879913763542,-180.4006868461485,0.9274963236353968,0.44730280442583875,-0.6083757777129501,1.3883270341335487,6.000929602432058,-13.44836860217242,3.418079330018448,0.05965674078690939,11.005034379565402,4.894665162286012,-7.500389400882232,4.8696761445220895,-19.8920949680246,-29.932354407242524,17.987989366737832,0.3139496433572505,28.130581008535092,25.045196087734837,-7.500389400882232,-12.602858854769474,12.086942861637255,0.6027053038419984,2.40432146942098,-6.7077254056534255,-20.333511599465115,29.94256126153074,101.85499141183926,0.3383114483097193,-5.259882043944154,-9.053929187142648,31.677263699586376,106.18593121391075,-0.02215156155580189,-29.824183393825138,-11.651053455523652,0.025982953493674188,-0.041329908801060355,0.003456562542936581,7.226990981208729,-37.33084396086247,-1.5754515972365652,3.528852695837827,0.06159004759824693,-5.345438136146981,24.570374049560826,-0.017174178608627244,-15.184580795029433,49.758307432460015,12.116764497111717,-37.69714184301961,-0.6579392952412277,-24.562458607658073,-39.72997649354943,-0.017174178608627244,-11.52445209251482,-34.89072739799633,8.407995370096515,-13.911376705796442,2.3576387311584313,-22.854214207873156,2.12785232043052,14.156044549688886,-14.02572364951187,-7.420986810198542,5.310217312197437,1.1531937049364842,19.2610905657657,28.47186075587229,1556.4526942370953,-406.35460667932057,0.23096545209070451,-0.26208140084077414,-2.330376348881432,-645.0957755863651,2199.797064653644,2131.879947655461,-842.002184491536,-14.695723576947742,-223.8631376381636,-2151.391278762034,5.2329412026881945,583.1536830896541,-2936.639898824401,-2388.1702796363147,1664.5688985096692,29.052200202169054,577.9377990295204,2641.984325687254,5.2329412026881945,-269.1316172545829,1617.5968122575578,720.9091248043627,-236.1141012383091,-208.80882417703953,-231.78238149616516,441.66809524214534,26.04908457311302,-207.13394062181624,381.36173888897855,-1366.0259723486856,325.79323177038776,712.7723233048537
9,0.075,-89.66289861970104,9.357098717953042,-180.51819955005257,0.9277157706199156,0.44694894819291014,-0.6084991148425678,1.4191796850806955,5.83896312874903,-13.333804993678987,3.425795413585959,0.059791410790162064,10.983451230734623,4.90524316663413,-7.5001414888090805,4.786635816118675,-19.67450137170042,-29.987530066015946,17.79365976496988,0.31055795129388025,27.961367883310636,24.87982343690013,-7.5001414888090805,-12.714261688945772,11.908500091686678,0.7162698057108725,2.275515683740585,-6.699811415538117,-20.550458873206892,29.986506746882906,101.96442818545965,0.21007284959071426,-5.300871495797834,-9.07242514302462,31.70679548670922,106.38174763451318,0.3603953091269432,-9.61224701318713,-9.387183686392746,0.025463733724123472,-0.04570057084655943,-0.008662869958534714,2.0049989052824486,-10.164246876251354,12.477722847544783,-0.982948558113975,-0.0171557471690007,-0.7541985613652287,-6.349389383515188,0.03116603709844412,-4.229953476827006,14.319171205125258,-5.928264624612211,-12.877215691817355,-0.2247499040544838,-13.152168641782964,-12.16781197507612,0.03116603709844412,-13.241453914958356,-12.314949381793213,9.317019114078114,-15.183890706874138,-1.3768768082970837,-17.86387695309668,5.591027393169497,7.428118905541851,-16.400874050737638,-2.9758719473062456,-10.148988636938839,5.696977390182383,14.848732367272532,29.18799049957122,1318.7316529286313,657.0687151572538,-0.022177329192435424,-0.8751898129625348,0.7890320102368757,-294.0398477073551,1689.7358622858033,-52.1631926671555,-280.96755218701503,-4.903804526339467,428.0037217482504,-1307.7050813503622,1.6827188889431854,955.9167142229144,-2188.361098964033,-44.970748024406134,1808.011450012741,31.555747783221797,1250.7301949771156,1501.8179331099573,1.6827188889431854,-86.75271389099134,1615.3466919927118,-620.9203471622634,117.1709326148848,-420.9957519170937,1503.8648022911773,28.389290955912855,-749.4512162068629,-194.18780699831336,388.44000160960775,-1534.580722332586,453.05499483991207,-1075.8231308974398
